c,k,m,cs
jubjub,100,10,56194
jubjub,100,20,82595
jubjub,100,30,108861
jubjub,100,40,135004
jubjub,300,10,95902
jubjub,300,20,122069
jubjub,300,30,148413
jubjub,300,40,174640
jubjub,1000,10,213184
jubjub,1000,20,239693
jubjub,1000,30,265761
jubjub,1000,40,292192
jubjub,3000,10,503788
jubjub,3000,20,529997
jubjub,3000,30,556431
jubjub,3000,40,582670
jubjub,10000,10,1395352
jubjub,10000,20,1421477
jubjub,10000,30,1448295
jubjub,10000,40,1474810
vellas,100,10,39189
vellas,100,20,57100
vellas,100,30,75116
vellas,100,40,93163
vellas,300,10,66409
vellas,300,20,84460
vellas,300,30,102604
vellas,300,40,120515
vellas,1000,10,148173
vellas,1000,20,166328
vellas,1000,30,184216
vellas,1000,40,202191
vellas,3000,10,351529
vellas,3000,20,369752
vellas,3000,30,387776
vellas,3000,40,405707
vellas,10000,10,978941
vellas,10000,20,996804
vellas,10000,30,1014884
vellas,10000,40,1033167
pasta,100,10,39136
pasta,100,20,57107
pasta,100,30,75087
pasta,100,40,93086
pasta,300,10,66592
pasta,300,20,84431
pasta,300,30,102551
pasta,300,40,120558
pasta,1000,10,148220
pasta,1000,20,166423
pasta,1000,30,184135
pasta,1000,40,202254
pasta,3000,10,351804
pasta,3000,20,369755
pasta,3000,30,387467
pasta,3000,40,405682
pasta,10000,10,979088
pasta,10000,20,997243
pasta,10000,30,1015379
pasta,10000,40,1033214
