pf,log2n,n,trial,pf_wall_time,pf_size,ver_wall_time
bp,5,32,1,0.044914501,12,0.002840101
llbp,5,32,1,20.978270598,34,18.648916951
bp,6,64,1,0.055179476,14,0.00483232
llbp,6,64,1,17.761285467,35,16.03900964
bp,7,128,1,0.090697188,16,0.008188658
llbp,7,128,1,20.919200297,35,18.703254838
bp,8,256,1,0.160418055,18,0.012491866
llbp,8,256,1,23.075812796,35,20.388204389
bp,9,512,1,0.299607784,20,0.02230343
llbp,9,512,1,21.878586138,36,19.490476642
bp,10,1024,1,0.581522153,22,0.040681723
llbp,10,1024,1,23.419243065,36,20.564874578
bp,11,2048,1,1.105981857,24,0.069753116
llbp,11,2048,1,48.932247613,37,42.617027246
bp,12,4096,1,2.171618917,26,0.128575995
llbp,12,4096,1,57.57050491,37,46.366388813
bp,13,8192,1,4.334343805,28,0.241387299
llbp,13,8192,1,50.333446775,38,42.964551327
bp,14,16384,1,8.551437972,30,0.454599222
llbp,14,16384,1,58.281724151,38,46.384020567
bp,15,32768,1,16.825717745,32,0.83691795
llbp,15,32768,1,75.127763531,38,52.148934872
bp,16,65536,1,33.535246665,34,1.5997407780000001
llbp,16,65536,1,76.251258532,39,55.106896872
bp,17,131072,1,65.7380705,36,2.99678523
llbp,17,131072,1,116.063929426,39,74.12115113
bp,18,262144,1,131.598955889,38,5.715596401
llbp,18,262144,1,206.462045834,39,106.126102793
bp,19,524288,1,260.194942188,40,11.503504514
llbp,19,524288,1,594.124721194,40,220.40930618
bp,20,1048576,1,527.810865546,42,22.88420615
llbp,20,1048576,1,523.699027733,40,283.516973095
bp,21,2097152,1,1012.719901164,44,45.782220253
llbp,21,2097152,1,1080.454333528,40,529.73316095
bp,5,32,2,0.044555501,12,0.002848968
llbp,5,32,2,20.904680131,34,18.749464845
bp,6,64,2,0.045495276,14,0.004739367
llbp,6,64,2,18.004596959,35,16.227542976
bp,7,128,2,0.086512414,16,0.008230932
llbp,7,128,2,21.065764237,35,18.811920053
bp,8,256,2,0.162452252,18,0.012508852
llbp,8,256,2,23.180005381,35,20.401969519
bp,9,512,2,0.299242121,20,0.022502633
llbp,9,512,2,22.021691298,36,19.525336485
bp,10,1024,2,0.585896423,22,0.040742724
llbp,10,1024,2,23.529429209,36,20.647317553
bp,11,2048,2,1.112737034,24,0.069509687
llbp,11,2048,2,48.979876228,37,42.594062186
bp,12,4096,2,2.175615324,26,0.128859942
llbp,12,4096,2,57.773734574,37,46.507022981
bp,13,8192,2,4.338553426,28,0.241661522
llbp,13,8192,2,50.394746023,38,43.038699877
bp,14,16384,2,8.466871148,30,0.455764488
llbp,14,16384,2,58.396673399,38,46.235068867
bp,15,32768,2,16.82097746,32,0.832243615
llbp,15,32768,2,75.376722935,38,52.228251355
bp,16,65536,2,33.520791937,34,1.601328275
llbp,16,65536,2,76.609722228,39,55.50807745
bp,17,131072,2,65.494577344,36,2.982291485
llbp,17,131072,2,116.489938943,39,74.561298125
bp,18,262144,2,131.028023528,38,5.796928963
llbp,18,262144,2,206.808715888,39,106.412572936
bp,19,524288,2,260.590390925,40,11.394741151
llbp,19,524288,2,593.794578322,40,220.099736191
bp,20,1048576,2,528.24871967,42,22.985422237999998
llbp,20,1048576,2,523.202704408,40,284.02673028
bp,21,2097152,2,1015.974880062,44,45.579670258
llbp,21,2097152,2,1082.645784567,40,529.658905367
bp,5,32,3,0.041887697,12,0.002843319
llbp,5,32,3,20.989787054,34,18.830147961
bp,6,64,3,0.054627277,14,0.004759296
llbp,6,64,3,18.013150263,35,16.216513736
bp,7,128,3,0.085181323,16,0.008178846
llbp,7,128,3,21.149224739,35,18.841148703
bp,8,256,3,0.16059297,18,0.012465304
llbp,8,256,3,23.147639248,35,20.464836253
bp,9,512,3,0.29872907,20,0.022346245
llbp,9,512,3,22.069716003,36,19.605250883
bp,10,1024,3,0.579995919,22,0.041191106
llbp,10,1024,3,23.761084319,36,20.713675606
bp,11,2048,3,1.110905623,24,0.069858078
llbp,11,2048,3,49.199964149,37,42.798626719
bp,12,4096,3,2.169623242,26,0.128399477
llbp,12,4096,3,57.584873981,37,46.363974415
bp,13,8192,3,4.442272946,28,0.246507096
llbp,13,8192,3,50.494010897,38,43.056178046
bp,14,16384,3,8.372997723,30,0.446477463
llbp,14,16384,3,58.149460265,38,46.335227694
bp,15,32768,3,16.863732075,32,0.838091608
llbp,15,32768,3,75.54632071,38,52.316639901
bp,16,65536,3,33.51712558,34,1.598479417
llbp,16,65536,3,76.607937396,39,55.459315214
bp,17,131072,3,65.436226502,36,2.990805779
llbp,17,131072,3,116.359783599,39,74.42376036
bp,18,262144,3,131.711653616,38,5.793831003
llbp,18,262144,3,206.980518441,39,106.430984454
bp,19,524288,3,260.564454284,40,11.429936187
llbp,19,524288,3,594.601901761,40,220.526026179
bp,20,1048576,3,529.196744125,42,22.961022327
llbp,20,1048576,3,523.155874627,40,284.200548084
bp,21,2097152,3,1012.400457179,44,45.788836859
llbp,21,2097152,3,1082.330306373,40,530.867463111
